iter	Passed	Remaining
0	213	42514
1	232	22995
2	252	16602
3	272	13348
4	290	11321
5	305	9872
6	318	8771
7	329	7896
8	341	7242
9	355	6745
10	368	6337
11	381	5972
12	393	5656
13	406	5401
14	421	5192
15	433	4987
16	445	4799
17	458	4640
18	471	4493
19	483	4352
20	495	4227
21	508	4110
22	520	4007
23	533	3911
24	548	3840
25	562	3764
26	576	3692
27	588	3617
28	603	3558
29	617	3496
30	631	3440
31	643	3378
32	657	3325
33	669	3266
34	682	3215
35	693	3159
36	707	3117
37	721	3073
38	733	3027
39	742	2969
40	752	2918
41	762	2867
42	772	2818
43	782	2773
44	791	2727
45	802	2685
46	812	2645
47	822	2605
48	833	2568
49	844	2533
50	854	2497
51	864	2461
52	875	2429
53	886	2397
54	897	2365
55	909	2338
56	921	2312
57	932	2283
58	944	2256
59	955	2230
60	967	2205
61	978	2178
62	990	2154
63	1000	2126
64	1012	2103
65	1023	2078
66	1034	2053
67	1046	2031
68	1059	2011
69	1071	1990
70	1083	1969
71	1096	1948
72	1107	1927
73	1121	1909
74	1132	1886
75	1143	1865
76	1155	1845
77	1167	1825
78	1177	1803
79	1189	1784
80	1202	1766
81	1211	1743
82	1222	1723
83	1234	1704
84	1245	1684
85	1257	1666
86	1268	1647
87	1279	1628
88	1292	1612
89	1303	1593
90	1316	1577
91	1329	1560
92	1340	1541
93	1353	1525
94	1365	1508
95	1377	1492
96	1387	1473
97	1401	1458
98	1412	1440
99	1423	1423
100	1434	1405
101	1447	1390
102	1460	1374
103	1472	1359
104	1484	1343
105	1496	1327
106	1509	1311
107	1521	1295
108	1533	1279
109	1545	1264
110	1556	1248
111	1568	1232
112	1580	1216
113	1592	1201
114	1603	1185
115	1616	1170
116	1627	1154
117	1638	1138
118	1651	1124
119	1664	1109
120	1675	1093
121	1685	1077
122	1696	1062
123	1708	1047
124	1718	1031
125	1730	1016
126	1742	1001
127	1754	986
128	1766	972
129	1778	957
130	1790	943
131	1802	928
132	1813	913
133	1825	899
134	1838	885
135	1849	870
136	1862	856
137	1874	842
138	1887	828
139	1897	813
140	1908	798
141	1920	784
142	1932	770
143	1943	755
144	1955	741
145	1967	727
146	1978	713
147	1989	699
148	2001	685
149	2012	670
150	2024	656
151	2035	642
152	2046	628
153	2057	614
154	2069	600
155	2081	587
156	2092	573
157	2103	559
158	2115	545
159	2124	531
160	2136	517
161	2148	503
162	2158	489
163	2170	476
164	2181	462
165	2193	449
166	2205	435
167	2217	422
168	2228	408
169	2239	395
170	2251	381
171	2263	368
172	2275	355
173	2287	341
174	2299	328
175	2310	315
176	2321	301
177	2335	288
178	2345	275
179	2358	262
180	2370	248
181	2382	235
182	2392	222
183	2402	208
184	2414	195
185	2426	182
186	2437	169
187	2449	156
188	2461	143
189	2472	130
190	2483	117
191	2494	103
192	2508	90
193	2520	77
194	2531	64
195	2542	51
196	2552	38
197	2563	25
198	2573	12
199	2584	0
